pt,title,lokasi,gaji,level,pendidikan,tipePekerjaan,url,posteDate
"PT SUN LOGISTICS","EXIM Staff","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/transportation-logistics/ekspor-impor/exim-staff-pt-sun-logistics-jakarta-utara.html,"Posted Date: Desember 19, 2023"
caoso.id,"Staff Accounting","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-caoso-id-jakarta-barat.html,"Updated:  Januari 22, 2024"
"PT. Zen Mitra Niaga","Staff Admin","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/staff-admin-pt-zen-mitra-niaga-jakarta-barat-2.html,"Posted Date: Desember 12, 2023"
"Jakarta Surprise Planner","Content Creator Design","Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/pemasaran-digital/content-creator-design-jakarta-surprise-planner-jakarta-selatan.html,"Posted Date: Desember 8, 2023"
"Jakarta Surprise Planner","Staff Sales Marketing","Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/akun-dan-relasi/staff-sales-marketing-jakarta-surprise-planner-jakarta-selatan.html,"Posted Date: Desember 8, 2023"
"Jakarta Surprise Planner","Staff Dekorasi","Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/komunikasi-pemasaran/staff-dekorasi-jakarta-surprise-planner-jakarta-selatan.html,"Posted Date: Desember 8, 2023"
"PT. GEBANG SURYA HARAPAN","Staff Administrasi","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/staff-administrasi-pt-gebang-surya-harapan-jakarta-barat-2.html,"Updated:  Januari 8, 2024"
"PT Tumbuh Sehat Makmur","Front Office","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/customer-care/resepsionis/front-office-pt-tumbuh-sehat-makmur-jakarta-utara.html,"Posted Date: Desember 7, 2023"
Ruangprint,"Admin Staff","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/admin-staff-ruangprint-jakarta-barat.html,"Updated:  Januari 22, 2024"
"PT Tumbuh Sehat Makmur","Engineering Sipil","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/teknik/sipil/engineering-sipil-pt-tumbuh-sehat-makmur-jakarta-utara.html,"Posted Date: Desember 6, 2023"
"Sukses Jaya Logistik",Mekanik,"Jakarta Utara","Rp.6 – 7 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/automotive/mekanik/mekanik-sukses-jaya-logistik-jakarta-utara.html,"Posted Date: Desember 5, 2023"
"Sukses Jaya Logistik","Dispatcher Operasional Dump Truck","Jakarta Timur","Rp.6 – 7 Juta","Supervisor / Coordinator",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/transportation-logistics/manajemen-logistik/dispatcher-operasional-dump-truck-sukses-jaya-logistik-jakarta-timur.html,"Updated:  Januari 8, 2024"
"PT INDO GUNA SEJAHTERA","Admin Staff","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/admin-staff-pt-indo-guna-sejahtera-jakarta-pusat.html,"Posted Date: November 30, 2023"
"Sukses Jaya Logistik","Sales Marketing","Jakarta Utara","Rp.6 – 7 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/sales-marketing-sukses-jaya-logistik-jakarta-utara.html,"Posted Date: November 28, 2023"
"PT MENTENG INDAH SANTOSA","Staff Administrasi Gudang","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/transportation-logistics/warehouse/staff-administrasi-gudang-pt-menteng-indah-santosa-jakarta-selatan-2.html,"Posted Date: November 27, 2023"
"Rufere Design","Admin Finance","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/admin-finance-rufere-design-jakarta-barat.html,"Posted Date: November 15, 2023"
