nama_perusahaan,judul_pekerjaan,lokasi_pekerjaan,gaji_pekerjaan,type_pekerjaan,deskripsi_pekerjaan,tanggal_diposting,link
"CV. Favorite",Produksi,Bali,"Tanpa pengalaman kerja","Tanpa pengalaman kerja","Dibutuhkan Staf Produksi dengan kreteria sebagai berikut :1. Bisa bekerjasama dengan team2. Mempunyai Inisiative dan kreativitas kerja3. Loyalitas waktu kerja4. Mampu bekerja sesuai kebutuhan perusahaanPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 05 May 2024","1 hari yang lalu",https://id.jobstreetexpress.com//job/Produksi-dc929ad9b7e2c3306aea9c25e641a99a?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ed07fa22-510e-4596-9b4c-8d62c986b0d4&sp=serp&sponsored=false&sq=&sr=91&tk=zsNizCAVEh2aaDEmHGCq-IQ988gD6MZG6QgJAw2tG&trigger_source=serp
"PT. Nanibar Kapital Nusantara","Customer Service","Kelurahan Merdeka, Jawa Barat","Rp3.000.000 - Rp3.100.000 per bulan",,"Tanggung Jawab Pekerjaan : Menangani pertanyaan dan masalah pelanggan dengan ramah dan efisien.Menyediakan solusi yang memuaskan pelanggan.Membantu pelanggan dalam proses pemesanan, pengiriman, dan pengembalian barang.Menyampaikan informasi produk atau layanan dengan jelas.Memonitor dan menindaklanjuti keluhan pelanggan.Meningkatkan kepuasan pelanggan melalui layanan yang superior.Membangun hubungan positif dengan pelanggan.Persyaratan Pekerjaan : Pendidikan minimal SMA/SMKPengalaman minimal 1 tahunLebih disukai berpengalaman sesuai bidangnyaBerdomisili BandungTeliti, Jujur, Bertanggung Jawab dan Dapat bekerjasama dalam teamPersyaratan minimum:Tersedia jam fleksibelDiperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTP","Sekitar 1 jam yang lalu",https://id.jobstreetexpress.com//job/Customer-Service-31e4b04b27f6d9992fa31c2f1ac1d013?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ed07fa22-510e-4596-9b4c-8d62c986b0d4&sp=serp&sponsored=false&sq=&sr=92&tk=zsNizCAVEh2aaDEmHGCq-IQ988gD6MZG6QgJAw2tG&trigger_source=serp
"PT PNM Cabang Cirebon","Finance Administration Officer","Kelurahan Sunyaragi, Jawa Barat","Tanpa pengalaman kerja","Tanpa pengalaman kerja","Tugas dan tanggung jawab :Mengelola Keuangan dan Administrasi PerusahaanKualifikasi :Berusia diantara 18-27 TahunPendidikan minimal SMA/SMK/MA/PAKET C & S1Tidak Sedang KuliahLancar Mengendarai Sepeda Motor Matic Memiliki E-KTP/Surat Keterangan DomisiliBenefit :Gaji pokok diatas UMK/R Kota Cirebon Tunjangan Hari RayaBPJS Kesehatan, BPJS KetenagakerjaanKendaraan Dinas & BBMTempat Tinggal/MessJenjang Karir & Pelatihan Bonus & InsentifPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 28 May 2024","2 hari yang lalu",https://id.jobstreetexpress.com//job/Finance-Administration-Officer-35b81ec84fc7527ca3cac84c65948222?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ed07fa22-510e-4596-9b4c-8d62c986b0d4&sp=serp&sponsored=false&sq=&sr=93&tk=zsNizCAVEh2aaDEmHGCq-IQ988gD6MZG6QgJAw2tG&trigger_source=serp
"Sate Tegal Wedus Cilik",Waiter/Waitress,"Cawang, Jakarta","Rp1 - Rp2 per bulan","Tanpa pengalaman kerja","PersyaratanMaksimal Usia 35 TahunJujur Dan Bertanggung JawabBerkelakuan BaikMemiliki Komunikasi Yang BaikDisiplinBersedia Bekerja Secara FulltimeSehat Jasmani Dan RohaniTanggung JawabMelayani KonsumenMengantar Pesanan Konsumen Persyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 10 May 2024","4 hari yang lalu",https://id.jobstreetexpress.com//job/Waiter-Waitress-bfa1b603709c907e781f77013261c669?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ed07fa22-510e-4596-9b4c-8d62c986b0d4&sp=serp&sponsored=false&sq=&sr=94&tk=zsNizCAVEh2aaDEmHGCq-IQ988gD6MZG6QgJAw2tG&trigger_source=serp
"Bluder Cokro Semarang","Staff Outlet","Kelurahan Kembangsari, Jawa Tengah","Tanpa pengalaman kerja",,"Persyaratan Pekerjaan:•	Kandidat adalah lulusan SMK atau lulusan lainnya yang setara.•	Memiliki kemampuan bahasa English pada tingkat dasar•	Memiliki kemampuan pelayanan konsumen dan berkomunikasi yang baik.•	Percaya diri dan tekun•	Mengutamakan hasil.Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniKartu izin tinggal dapat diberikan untuk posisi ini","Sekitar 3 jam yang lalu",https://id.jobstreetexpress.com//job/Staff-Outlet-1e373a878cfd0b5e71ed790840ebe314?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ed07fa22-510e-4596-9b4c-8d62c986b0d4&sp=serp&sponsored=false&sq=&sr=95&tk=zsNizCAVEh2aaDEmHGCq-IQ988gD6MZG6QgJAw2tG&trigger_source=serp
"PT Mega Niaga Sejahtera","Operator Gudang Samarinda","Kalimantan Timur","Rp1.500.000 - Rp3.000.000 per bulan","Full time","Jobdesc :Bertanggung jawab melaksanakan Bongkar barang sesuai arahan CheckerMelakukan penyimpanan barang dagangMembantu memastikan list penyimpanan barang sama dengan sistem dan barang disimpan dalam keadaan baikMelakukan proses penyiapan barang dari proses picking di BIN sampai Loading ke Armada Kirim.Melakukan proses muat barang pengirimanMelakukan proses Bagor sesuai dengan standar prosedur dan IKMenggunakan consumable (barang consumable) untuk mendukung pekerjaan di gudang.Melakukan Proses Opname dan Cycle Count harianMelakukan Pengecekan secara harian terhadap barang-barang dalam ikatan yang harusnya memiliki Storage UnitMemastikan Penyiapan Barang dilakukan secara maksimal untuk dapat mencapai standar Kilogram per ManHourKualifikasi :Minimal pendidikan SMA/SMK sederajatMinimal 1 - 2 tahun sebagai Operator​Memiliki Innovation, Performance Focus, Service Orientation dan mampu bekerjasama dalam timPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 15 May 2024Gaji yang diinginkan: Rp3,000,000 - Rp3,100,000 per bulan","Sekitar 6 jam yang lalu",https://id.jobstreetexpress.com//job/Gudang-7f519f0b129a45c9bcd5438f7b585743?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ed07fa22-510e-4596-9b4c-8d62c986b0d4&sp=serp&sponsored=false&sq=&sr=96&tk=zsNizCAVEh2aaDEmHGCq-IQ988gD6MZG6QgJAw2tG&trigger_source=serp
"PT. Asiaparts Indotech","Admin finance",Banten,"Tanpa pengalaman kerja","Full time","Tidak sedang kuliahMampu berkomunikasi dengan baikDapat bekerja dalam tim atau individuSiap bekerja keras, menyukai tantangan, jujur & disiplinMampu mengoperasikan komputer & keluarga Microsoft OfficeFresh graduate dipersilahkan melamarmax usia 24 thnPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 05 May 2024Gaji yang diinginkan: Rp1 - Rp2 per bulan","1 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-Finance-807d66e09625be900133ec0fd9010238?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ed07fa22-510e-4596-9b4c-8d62c986b0d4&sp=serp&sponsored=false&sq=&sr=97&tk=zsNizCAVEh2aaDEmHGCq-IQ988gD6MZG6QgJAw2tG&trigger_source=serp
"PT Kalibaru","PPIC  STAFF  (PPIC)","Kelurahan Arjuna, Jawa Barat","Tanpa pengalaman kerja",,"KUALIFIKASI & DESKRIPSI PEKERJAAN  :1.
S1 Teknik Industri, Teknik Elektro, Teknik Mesin
2.
Usia max. 35 tahun
3.
Fresh graduate available
4.
Memiliki pengalaman dibidangnya min. 1 tahun (merupakan nilai plus)
5.
Bersedia ditugaskan keluar kota
6.
Mampu membuat SOP perusahaan7. Mengerti dan menguasai prosedur - prosedur pembuatan ISO terbaru (merupakan nilai plus)Persyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: PagiSelasa: PagiRabu: PagiKamis: PagiJum'at: PagiSabtu: PagiDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 13 May 2024","1 hari yang lalu",https://id.jobstreetexpress.com//job/PPIC-STAFF-PPIC-2c2409b247cbf99f46adbd602819274d?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ed07fa22-510e-4596-9b4c-8d62c986b0d4&sp=serp&sponsored=false&sq=&sr=98&tk=zsNizCAVEh2aaDEmHGCq-IQ988gD6MZG6QgJAw2tG&trigger_source=serp
Apartku,"OTA admin","Caturtunggal, Yogyakarta","Rp3.500.000 - Rp5.000.000 per bulan","Full time","Persyaratan untuk iklan lowongan pekerjaan sebagai berikut:Berpenampilan profesional.Komunikatif, jujur, rajin.Dapat bekerja secara tim atau individu.Berpengalaman di bidang OTA (Online Travel Agency), Marketing perhotelan.Freshgraduate dipersilahkan.Persyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 10 May 2024Gaji yang diinginkan: Rp1,500,000 - Rp3,000,000 per bulan","1 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-0854f3c0a935e3af5a448ceb60813040?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ed07fa22-510e-4596-9b4c-8d62c986b0d4&sp=serp&sponsored=false&sq=&sr=99&tk=zsNizCAVEh2aaDEmHGCq-IQ988gD6MZG6QgJAw2tG&trigger_source=serp
"First Cosmetindo","Staff R&D","Yogyakarta, Yogyakarta","Rp3.500.000 - Rp4.500.000 per bulan","Tanpa pengalaman kerja","Deskripsi kerjaRiset produk sesuai dengan SOPKualifikasiPendidikan minimal SMA SederajatMemiliki pengalaman di bidang yang sama lebih diutamakanTerbuka untuk fresh graduateMampu bekerja dalam tim maupun individuMampu berkomunikasi dengan baikBersediakah bekerja shiftingPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTP","3 hari yang lalu",https://id.jobstreetexpress.com//job/Staff-R-D-c991e4f014472a7136052eeb8ced5d5c?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ed07fa22-510e-4596-9b4c-8d62c986b0d4&sp=serp&sponsored=false&sq=&sr=100&tk=zsNizCAVEh2aaDEmHGCq-IQ988gD6MZG6QgJAw2tG&trigger_source=serp
